,tweet_id,age,author,tagged_authors
0,1717288104942301686,22608,ETHANWlNTERS,NA
1,1717355484645089648,6543,petalxdance,NA
2,1717294965561413887,20972,Nintendeal,NA
3,1717328558660464689,12963,tls123_twt,NA
4,1717328558660464689,12963,butterpeanutstn,NA
5,1717328547960811806,12966,petalxdance,NA
6,1717321155885867421,14728,jnoelmanuel,NA
7,1717321155885867421,14728,shaheen_306,NA
8,1717302653863313780,19139,DA1LYKRIS,NA
9,1717302653863313780,19139,spookygloopz,NA
10,1717287621733322834,22723,LexiAlex,NA
11,1717287621733322834,22723,PeruginiNic,NA
12,1717283126571929981,23795,fubroshi,NA
13,1717283126571929981,23795,Variety,variety.com
14,1717353258766008581,7074,Lexx__Nova,NA
15,1717353258766008581,7074,Lexx__Nova,NA
16,1717353160740913641,7097,AnimatormeO,NA
17,1717353121448657271,7107,Rafal_Legato,NA
18,1717352929877954561,7152,dymitrex_Fox,NA
19,1717352715788173347,7204,NinWire,NA
20,1717352715788173347,7204,NinWire,NA
21,1717352575258009683,7237,spottiestosprey,NA
22,1717351851123749273,7410,petalxdance,NA
23,1717351587398500479,7473,Remroum,NA
24,1717280998063223005,24302,MargBarAmerica,NA
25,1717280998063223005,24302,Mondoweiss,NA
26,1717351270456127673,7548,indigothegogo,NA
27,1717350224295784658,7798,Eerb_ing,NA
28,1717350172647133377,7810,dailyasmodeus,NA
29,1717350056104227061,7838,AriOhLa,NA
30,1717349723168784568,7917,intokaneshiro,NA
31,1717349073336897783,8072,basicbarbiez,NA
32,1717348478962032938,8214,yanti8ve,NA
33,1717347856904769868,8362,marielightful,NA
34,1717347654659645673,8410,artemara_,NA
35,1717347571323289877,8430,NinEverything,NA
36,1717347206192120215,8517,cwnsouls,NA
37,1717346692419240353,8640,petalxdance,NA
38,1717345917118890286,8824,not0tomorrow,NA
39,1717345594359042126,8901,MeTTa_71,NA
40,1717345567049908550,8908,BluetornadoKDMC,NA
41,1717345567049908550,8908,rrawrrart,NA
42,1717345317186568369,8967,syokuyoku_max_,NA
43,1717345302976323976,8971,NinWire,NA
44,1717345300786839621,8971,PeacockTVCare,NA
45,1717345300786839621,8971,FNAFAlerts,NA
46,1717344793045389721,9092,ETHANWlNTERS,NA
47,1717344469656191239,9170,hunieday,NA
48,1717342845789778091,9557,d1edre,NA
49,1717342568051032194,9623,petalxdance,NA
50,1717340758423007512,10054,Illusionism_Art,NA
51,1717339591374442686,10333,takapon_o_ji21,NA
52,1717339579441643703,10335,TeamSilentHill,NA
53,1717339534457794757,10346,RE_Games,NA
54,1717339251707134116,10414,MariaMari0nette,NA
55,1717339251707134116,10414,NIJISANJI_World,NA
56,1717335731432046894,11253,tobiyolos,NA
57,1717335148826431777,11392,petalxdance,NA
58,1717334507316199681,11545,kaisouafuro,NA
59,1717330502288327016,12500,deadlyclaris,NA
60,1717279436255473738,24675,gomanga,NA
61,1717330204082033031,12571,NinWire,NA
62,1717330093474001281,12597,Ayiiiyiii,NA
63,1717329292743282875,12788,b0_nesaw,NA
64,1717329125646434756,12828,ranka_pic,NA
65,1717328204061409340,13048,petalxdance,NA
66,1717328034515341684,13088,LtTibbles,NA
67,1717328034515341684,13088,paprbckparadise,NA
68,1717325741942095901,13635,corndanish,NA
69,1717325741942095901,13635,corndanish,NA
70,1717325598677467620,13669,nannkizum,NA
71,1717325291994087640,13742,hewworeese,NA
72,1717324547307835773,13919,754_0711,NA
73,1717324430295064814,13947,WithTheWill,NA
74,1717324421558399357,13949,WithTheWill,NA
75,1717323942271021338,14064,WithTheWill,NA
76,1717323406905852039,14191,WithTheWill,NA
77,1717322722752053677,14354,mzt_mgmg,NA
78,1717322052732875073,14514,cid_higell,NA
79,1717321925439918345,14545,akisenqi,NA
80,1717321925439918345,14545,mamadayoP,NA
81,1717321712843231366,14595,Aaronsballss,NA
82,1717321712843231366,14595,akisenqi,NA
83,1717321656329187344,14609,horror4kids,NA
84,1717321511306981836,14643,bbcdoctorwho,NA
85,1717321210915123264,14715,dznyella,NA
86,1717321210915123264,14715,TwittyLitt26713,NA
87,1717319053126336969,15229,LunaNoctuArts,NA
88,1717318434390675783,15377,PkmnShitpost,NA
89,1717318359774105652,15395,_mochiwei,NA
90,1717318308611912177,15407,ETHANWlNTERS,NA
91,1717317642627711105,15566,sanriodaily,NA
92,1717317557630198257,15586,Mokiette,NA
93,1717316927096238373,15736,submin88,NA
94,1717316274341003280,15892,jupy314,NA
95,1717316240966844499,15900,E__hiyori_,NA
96,1717316226869838283,15903,gohan_0222,NA
97,1717298487946264911,20132,Nrtonkissr,NA
98,1717315877476110450,15986,spiderzlover,NA
99,1717315845029089706,15994,anchrovy,NA
100,1717315106814431678,16170,NinWire,NA
101,1717312082402594964,16891,RetroTechDreams,NA
102,1717311456088338629,17041,signeswan,NA
103,1717310559958233544,17254,NinEverything,NA
104,1717310389237731619,17295,crocrubies,NA
105,1717310389237731619,17295,MARIT0SHI,NA
106,1717310355309998562,17303,monicracar,NA
107,1717309472287363527,17514,anmin_sitai,NA
108,1717307107530490142,18077,adsk4,NA
109,1717305633077125302,18429,petalxdance,NA
110,1717303993490178115,18820,pocketmuqing,NA
111,1717303206944870819,19007,ETHANWlNTERS,NA
112,1717303174296371351,19015,sanriodaily,NA
113,1717302108628889978,19269,gabunomi6969,NA
114,1717302095341068292,19272,sagethafugitive,NA
115,1717302095341068292,19272,kaitlancollins,NA
116,1717301580616360112,19395,azigashimishimi,NA
117,1717301281751265439,19466,anmin_sitai,NA
118,1717300214468431906,19721,corndanish,NA
119,1717300186190676055,19728,Gzeidraws,NA
120,1717300004300402788,19771,NinWire,NA
121,1717299371103101074,19922,passionbootys,NA
122,1717298930671591883,20027,withhualian,NA
123,1717288436393025550,22529,Quantum_Error,NA
124,1717297548468342819,20356,anarogiizu,NA
125,1717296315153977490,20650,valveirony,NA
126,1717294849362407656,21000,DancingPurge,NA
127,1717291389879259225,21825,tls123_twt,NA
128,1717291206076498168,21869,OmySpyYT,NA
129,1717290112180977881,22129,MonicaLMarks,NA
130,1717290112180977881,22129,Beltrew,NA
131,1717290069424255375,22140,m7mdkurd,NA
132,1717290010863443991,22154,hamiltonnolan,NA
133,1717289622328266873,22246,Cyb4rAnGeL,NA
134,1717289622328266873,22246,nihiinn,NA
135,1717288583613276406,22494,RoamingTuna,NA
136,1717285896209281049,23135,nohc__,NA
137,1717285251981205738,23288,LunaNoctuArts,NA
138,1717284899663597657,23372,NinWire,NA
139,1717284745862652160,23409,suyapipi_,NA
140,1717277609342701846,25110,NinEverything,NA
141,1717276213612314970,25443,sanriodaily,NA
142,1717275995542089729,25495,WebDesignMuseum,NA
143,1717275931436552446,25510,TheeDanniee,NA
144,1717275724766425295,25560,image_origins,NA
145,1717274316922904734,25895,saihahas,NA
146,1717273614846927149,26063,JawsClawsPaws,NA
147,1717273003430474022,26208,ETHANWlNTERS,NA
148,1717273000423403826,26209,ghostpotion_art,NA
149,1717272972610920867,26216,p9qx1,NA
150,1717269802148929732,26972,NinWire,NA
151,1717263941909299467,28369,shynyn106615,NA
152,1717263911580311731,28376,shynyn106615,NA
153,1717263101609889959,28569,hualianful,NA
154,1717263068780978394,28577,withhualian,NA
155,1717262506521940272,28711,gremlinyibito,NA
156,1717262388443959660,28739,ggang_gr,NA
157,1717255590156595613,30360,gomanga,NA
158,1717262251735110127,28772,NinWire,NA
159,1717261835643113550,28871,i6gumang,NA
160,1717261669947023757,28911,swcozy,NA
161,1717260234698154444,29253,chuanaye,NA
162,1717253202591068193,30929,deadlyclaris,NA
163,1717259595775987725,29405,adsk4,NA
164,1717259549424431489,29416,chuanaye,NA
165,1717257901734072801,29809,ETHANWlNTERS,NA
166,1717255874094235970,30292,gomanga,NA
