,Users,Items,TweetID,Age,rating_age
0,SAMPLE,abajournal.com,1773168177297379383,58146,0.2836469672295056
1,SAMPLE,abajournal.com,1773168177297379383,58146,0.2836469672295056
2,SAMPLE,abajournal.com,1772428310166790441,61744,0.26237155965419723
3,SAMPLE,abajournal.com,1772428310166790441,61744,0.26237155965419723
4,SAMPLE,abajournal.com,1772065906748781047,61747,0.2623545034190768
5,SAMPLE,abcactionnews.com,1773198350780616859,50952,0.3314989041232334
6,SAMPLE,abcactionnews.com,1773198350780616859,50952,0.3314989041232334
7,SAMPLE,abcactionnews.com,1772466030721290494,52750,0.3188312005353202
8,SAMPLE,abcactionnews.com,1772466030721290494,52750,0.3188312005353202
9,SAMPLE,abcactionnews.com,1772466030721290494,52750,0.3188312005353202
10,SAMPLE,abcnews.com,1773562460072477082,50541,0.33446454547564003
11,SAMPLE,abcnews.com,1771750249729569070,50606,0.33399376667694575
12,SAMPLE,abcnews.com,1773198426324222171,50934,0.331628233916865
13,SAMPLE,abcnews.com,1772472368817971584,51239,0.32944361241542325
14,SAMPLE,abcnews.com,1771744145003909438,52061,0.3236272703609238
15,SAMPLE,abcnews.go.com,1772591157853172073,22918,0.6085759978260215
16,SAMPLE,abcnews.go.com,1773562460072477082,50541,0.33446454547564003
17,SAMPLE,abcnews.go.com,1772466929086726356,52536,0.3203131768109674
18,SAMPLE,abcnews.go.com,1772460913045426444,53970,0.31051257148109995
19,SAMPLE,abcnews.go.com,1772454433877598263,55515,0.30028865940551497
20,SAMPLE,abqjournal.com,1771752605749776690,50044,0.33808619591569344
21,SAMPLE,abqjournal.com,1771752605749776690,50044,0.33808619591569344
22,SAMPLE,abqjournal.com,1771752605749776690,50044,0.33808619591569344
23,SAMPLE,abqjournal.com,1772474020232864078,50845,0.3322684397815592
24,SAMPLE,abqjournal.com,1772474020232864078,50845,0.3322684397815592
25,SAMPLE,aciprensa.com,1772323825134301406,255,0.9944893847714459
26,SAMPLE,aciprensa.com,1772323825134301406,255,0.9944893847714459
27,SAMPLE,aciprensa.com,1771957893157302588,1100,0.9764448375849166
28,SAMPLE,aciprensa.com,1772681181248544956,1454,0.9689830042811339
29,SAMPLE,aciprensa.com,1772681181248544956,1454,0.9689830042811339
30,SAMPLE,aclj.org,1771947590394761265,3556,0.9258356116912153
31,SAMPLE,aclj.org,1771947590394761265,3556,0.9258356116912153
32,SAMPLE,aclj.org,1771919152929755149,10336,0.7993300739429297
33,SAMPLE,aclj.org,1771919152929755149,10336,0.7993300739429297
34,SAMPLE,aclj.org,1771887947278626853,17776,0.6803103102763993
35,SAMPLE,actionnewsjax.com,1771741820147347668,52616,0.3197583624697555
36,SAMPLE,actionnewsjax.com,1771741820147347668,52616,0.3197583624697555
37,SAMPLE,actionnewsjax.com,1773187545829941533,53528,0.31350099582030516
38,SAMPLE,actionnewsjax.com,1773187545829941533,53528,0.31350099582030516
39,SAMPLE,actionnewsjax.com,1772460417438134648,54089,0.30971287426507565
40,SAMPLE,actionnewsnow.com,1773564499213058165,50055,0.3380056158452408
41,SAMPLE,actionnewsnow.com,1773564499213058165,50055,0.3380056158452408
42,SAMPLE,actionnewsnow.com,1772477327378653285,50057,0.33799096698688585
43,SAMPLE,actionnewsnow.com,1772477327378653285,50057,0.33799096698688585
44,SAMPLE,actionnewsnow.com,1771751294417461647,50356,0.33580808955427466
45,SAMPLE,adage.com,1773183289827701184,54542,0.3066874460435948
46,SAMPLE,adage.com,1773183289827701184,54542,0.3066874460435948
47,SAMPLE,adage.com,1773168206036754657,58139,0.2836899969379156
48,SAMPLE,adage.com,1773168206036754657,58139,0.2836899969379156
49,SAMPLE,adage.com,1771712199452434532,59678,0.27438491604272813
50,SAMPLE,additudemag.com,1772444664978702576,57844,0.2855093383484518
51,SAMPLE,additudemag.com,1772444664978702576,57844,0.2855093383484518
52,SAMPLE,additudemag.com,1772444664978702576,57844,0.2855093383484518
53,SAMPLE,additudemag.com,1773168180451590620,58145,0.28365311393109083
54,SAMPLE,additudemag.com,1773168180451590620,58145,0.28365311393109083
55,SAMPLE,adflegal.org,1772687771712323901,86283,0.1541615510479825
56,SAMPLE,adn.com,1773196873722998885,51304,0.3289799008795118
57,SAMPLE,adn.com,1773196873722998885,51304,0.3289799008795118
58,SAMPLE,adn.com,1772458881379106944,54455,0.3072661866844789
59,SAMPLE,adn.com,1773182142668808212,54816,0.3048718586915525
60,SAMPLE,adn.com,1773182142668808212,54816,0.3048718586915525
61,SAMPLE,advocate.com,1772444704522539022,57835,0.28556502671215095
62,SAMPLE,advocate.com,1772444704522539022,57835,0.28556502671215095
63,SAMPLE,advocate.com,1773168425755443447,58086,0.2840160051884525
64,SAMPLE,advocate.com,1773168425755443447,58086,0.2840160051884525
65,SAMPLE,advocate.com,1771703629193318574,61721,0.2625023609676639
66,SAMPLE,afro.com,1771735347224838473,54159,0.3092434265511261
67,SAMPLE,afro.com,1771735347224838473,54159,0.3092434265511261
68,SAMPLE,afro.com,1771735347224838473,54159,0.3092434265511261
69,SAMPLE,afro.com,1773177120023298051,56013,0.29706546664262035
70,SAMPLE,afro.com,1773177120023298051,56013,0.29706546664262035
71,SAMPLE,ageofautism.com,1772323164380332409,412,0.9911116891098815
72,SAMPLE,ageofautism.com,1772322389306564886,597,0.9871463223346598
73,SAMPLE,ageofautism.com,1772322389306564886,597,0.9871463223346598
74,SAMPLE,ageofautism.com,1772319781539950955,1219,0.973930091677872
75,SAMPLE,ageofautism.com,1772622971892277698,15333,0.7172962158418866
